,Report No.,Report Date,Sent to Manufacturer / Importer / Private Labeler,Publication Date,Category of Submitter,Product Description,Product Category,Product Sub Category,Product Type,Product Code,Manufacturer / Importer / Private Labeler Name,Brand,Model Name or Number,Serial Number,UPC,Date Manufactured,Manufacturer Date Code,Retailer,Retailer State,Purchase Date,Purchase Date Is Estimate,Incident Description,City,State,ZIP,Location,(Primary) Victim Severity,(Primary) Victim's Gender,My Relation To The (Primary) Victim,(Primary) Victim's Age (years),Submitter Has Product,Product Was Damaged Before Incident,Damage Description,Damage Repaired,Product Was Modified Before Incident,Have You Contacted The Manufacturer,If Not Do You Plan To,Answer Explanation,Company Comments,Associated Report Numbers,candidate_brand,specifiers,label
34227,20120222-6B7FB-1232713,2/22/2012,3/20/2012,4/5/2012,Consumer,Lasko Ceramic Heater ,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,LASKO PRODUCTS INC.,Lasko,5307,H221113151,,,,Wal Mart,Missouri,11/30/2011,Yes,"The consumer wanted to express that her portable, ceramic heater may by a potential fire hazard. The consumer stated that she had the heater plugged in the wall outlet and set to low-low medium for possibly 2 hours. The consumer attempted to power off the heater and unplug it from the wall outlet, when she noticed the power cord was abnormally warm. The consumer stated that her unplugged the heater and the metal prong that goes in the wall outlet burned her finger. 

The consumer did not go to the doctor for her burn. The consumer placed the burn under cold water and was fine. The consumer believes this occurred due to the cord from the heater and not the outlet. The consumer stated that the product does not appear to be damaged and did not spread damage to the consumers home. 

The consumer took the product outside. The consumer did not find it necessary to call the fire department or her home insurance company. The consumer did some research and found recalls on similar models but hers was not included. The UL number is 1278. The consumer has not yet called the firm or the retailer.",St. Louis ,Missouri,63119,Home/Apartment/Condominium,"Injury, No First Aid or Medical Attention Received",Female,Self,71,Yes,No,,,No,,,,(3/23/2012) LASKO PRODUCTS INC.: Customer was contacted.  Heater returned to retailer and is no longer available for inspection.  Customer reports failure of outlet due to resistance heating caused by poor connectivity within outlet.,,"['LASKO PRODUCTS INC.', 'Lasko']","['UL', '1278.']",8672
34548,20120225-421F4-2147469808,2/25/2012,3/5/2012,3/19/2012,Consumer,Lasko Ceramic Tower Air Space Heater,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,LASKO PRODUCTS INC.,Ceramic Air Heater,5566,PM2160129406,,,,Sams,Georgia,11/1/2009,Yes,Lasko Ceramic Tower Heater cord over heating and sparking. My last Lasko Heater (model 5566) same model caught fire in the middle of the night while I was sleeping. This is a dangerous heater and I don't recommend anyone buy it.,Knightdale,North Carolina,27545,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,38,Yes,No,,,No,No,Yes,,(3/23/2012) LASKO PRODUCTS INC.: Customer was contacted and sent prepaid return label so heater can be inspected.  Heater possibly subject to previous recall.,,"['LASKO PRODUCTS INC.', 'Ceramic Air Heater']",['5566'],0
34954,20120103-3534C-1222768,1/3/2012,2/15/2012,3/1/2012,Consumer,Portable Electric heater,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,LASKO PRODUCTS INC.,Lasko,5592,PM1111 0041293,'unknown,,,Sam's club,Kentucky,1/1/2010,Yes,"Consumer stated that while the electric heater was in use for approximately 1 1/2 hour it blew the electrical fuse, and the smoke detectors went off.  The unit was immediately unplugged. They were no physical evidence that the heater wires melted.

Conumer stated the whenever she tried to plug in the heater the smoke detectors would alarm.

1/3/11 Consumer attempted to contact manufacturer but was unable to reach someone.

Consumer feels that this heater is a safewty hazard and should be reported.",Walton,Kentucky,41094,Home/Apartment/Condominium,"Incident, No Injury",Female,Unspecified,65,Yes,No,,,No,No,Yes,,(2/21/2012) LASKO PRODUCTS INC.: Customer contacted claims dept. to advise that her electrician determined that circuit was overloaded and there is no problem with unit.,,"['LASKO PRODUCTS INC.', 'Lasko']",['11'],0
35124,20111209-15E4A-1218973,12/9/2011,1/20/2012,2/23/2012,Consumer,Space Heater,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,LASKO PRODUCTS INC.,,5309,H2411031066,,,,Target,Texas,10/15/2011,Yes,"Caller purchased space heater around mid October 2011 but had only used it recently 3 times.
 
She plugged the space heater into outlet around 8:30PM on December 7th, 2011, went to bed an maybe an hour later, woke about 5:00AM December 8th, 2011.

She opened her eyes, heard humming sound of heater stop but then about a minute later she heard a crackling sound, looked around her entertainment center and saw that the power strip had ignited.
Flames measured approximately 4-6 inches high.

Fire Departement believes that the heater cord began the fire.

Caller does not intend to contact manufacturer because she does not want a free repair or replacement , she is not afraid of it.
She wants public made aware and a recall generated",Ft Worth,Texas,76112,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,,Yes,No,,,No,No,No,"She doesn't want a replacement or repair, she is afraid of space heater now",,,"[nan, '', 'LASKO PRODUCTS INC.']","['00AM', '2011.', '4-6', '30PM', '2011']",7879
35196,20120105-A0DF3-1223405,1/5/2012,2/6/2012,2/21/2012,Consumer,"electric Ceramic heater
ETL #3102824 U.i.STD 1278",Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,LASKO PRODUCTS INC.,Lasko,5962m 5905,8267,,,,,,12/2/2009,Yes,"On 1/4/12, the consumer said his wife turned on the ceramic heater for an hour to warm his daughter's room.  The consumer's wife noticed the cord was extremely hot and then unplugged the unit.  The next day the consumer plugged the unit back in to see how fast the cord heated up and immediately the cord burner in half approximately 1/2"" from where the cord exits the unit.  The unit's male plug was not hot at all.  The consumer feels that the unit would have started a fire if left plugged in all night long.",Benbrook,Texas,76126,Unspecified,"Incident, No Injury",Female,Unspecified,,Yes,No,,,No,Yes,,See Narrative,(2/7/2012) LASKO PRODUCTS INC.: Customer was contacted.  Customer declined prepaid return of heater for evaluation.  Unit apparrently failed safely.  Suspected cause is external damage to power cord.,,"['LASKO PRODUCTS INC.', 'Lasko']","['12', '3102824', '1278', 'ETL', 'STD']",8672
35693,20120104-6CB06-2147471654,1/4/2012,1/12/2012,1/27/2012,Consumer,"Ceramic Portable Electric Heater, Model 5565",Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,LASKO PRODUCTS INC.,Lasko,5565,106004096750,,,4223,Sam's Club,Illinois,1/1/2009,Yes,Lasko Ceramic Air Heater 5565 emitted a burnt smell and smoke vapors can be seen.,Calumet City,Illinois,60409,Home/Apartment/Condominium,"Incident, No Injury",Unspecified,Unspecified,,Yes,No,,,No,No,,"Yes, I still have the heater.",(3/23/2012) LASKO PRODUCTS INC.: Customer returned heater for evaluation.  Internal electronic component failed safely within enclosure.   Customer given replacement unit at no charge.,,"['LASKO PRODUCTS INC.', 'Lasko']",['5565'],0
36028,20111217-7840C-2147472269,12/17/2011,12/27/2011,1/11/2012,Consumer,Tower Ceramic Heater; Moveable Air Heater,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,LASKO PRODUCTS INC.,Lasko,5591,Model Number PMO 710017300,'I don't know,,I don't know,Sam's Club,,3/23/2011,Yes,"Name: [REDACTED]
Subject: Lasko 5591 is shorting out electrical outlets

Message: I am having electrical troubles with Lasko 5591 bought less than 9 months ago at Sam\'s Club. It has shorted out to electrical outlets in my apartment. (It didn\'t come with an instruction manual.) The Lasko 5591 has a back-surge that could cause a fire. Please help with Model Number PMO 710017300.",Alexandria,Virginia,22306,Home/Apartment/Condominium,"Incident, No Injury",Unspecified,Unspecified,,No,No,,,No,Yes,,Customer Service Department,(1/3/2012) LASKO PRODUCTS INC.: Customer returned unit to retailer.  Unit not available for inspection.  Customer is likely describing an outlet failure due to poor internal connectivity.,,"['LASKO PRODUCTS INC.', 'Lasko']","['PMO', '5591', '710017300.', 'REDACTED']",0
36140,20111213-6AF0B-2147472387,12/13/2011,12/21/2011,1/6/2012,Consumer,"Lasko Ceramic Portable Heater, Model #5566, PM 2160102729",Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,LASKO PRODUCTS INC.,Lasko,5566,E217303,'PM2160102729,,none listed,Either Lowes or Home Depot,,10/15/2007,Yes,"I purchased a Lasko Ceramic Heater, Model #5566, approximately three years ago.  When I plugged the unit in the electric socket, sparks came flying out and the cord at the base of the unit burned out.  It seems the cord at the base of the unit becomes overheated during use and eventually the cord catches fire.

I unplugged the unit immediately and no one was hurt but I had some minor wall damage as a result of the sparks.  When I called the Lasko Recall Center, the recording message said my model was not being recalled.  IT SHOULD BE.  I still have the heater if inspection is needed.

Thank you.

[REDACTED]",Englewood,Colorado,80111,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,66,Yes,No,,,No,,,"I have not disposed of the product and when I tried to report it to the company, the recording told me my model was not being recalled.",(1/4/2012) LASKO PRODUCTS INC.: The reported model 5566 was subject to a recall in 2007.  Left message for customer to contact Lasko for a replacement heater.,,"['LASKO PRODUCTS INC.', 'Lasko']","['REDACTED', 'IT', '2160102729', 'BE.', '5566', 'PM', 'SHOULD']",0
36390,20111102-84D21-1211820,11/2/2011,12/9/2011,12/23/2011,Consumer,Electric Portable Heater ,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,LASKO PRODUCTS INC.,Lasko,758000,HO807023812,,,,received as gift,,12/31/2010,Yes,"The consumer says he had the unit plugged in.  He says after about 30 minutes he started smelling something and then noticed smoke coming out from the top of the heater.  It was very hot to the touch.  The consumer says their was melting right on top of the cabinet portion of the heater.  He has never had issues with it before but hasnt used it until recently.  He unplugged the unit.  he states that if he had not been home it would have caught on fire.  They sent me a lable to return and will replace it, they said.  I sent it back, we'll see what happens.",Dunmar,Pennsylvania,18512,Home/Apartment/Condominium,"Incident, No Injury",Male,Unspecified,61,Yes,No,,,No,No,Yes,,"(2/7/2012) LASKO PRODUCTS INC.: Unit returned for evaluation.  Plastic near grill deformed slightly, likely due to something draped over unit while operating.  Inspection showed unit still operates properly without further incident.   Customer given replacement unit.",,"['LASKO PRODUCTS INC.', 'Lasko']",['30'],0
36391,20111203-D136D-2147472735,12/3/2011,12/9/2011,12/23/2011,Consumer,Lasko 6350 ceramic pedestal heater,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,LASKO PRODUCTS INC.,Lasko,6350,KW1010065288,,,278,,,,,"Power cord plug of Lasko ceramic heater model 6350 is splitting open, discolored and melted.",Atlanta,Georgia,30319,Home/Apartment/Condominium,"Incident, No Injury",Unspecified,Unspecified,,Yes,,,,,No,No,Manufacturer website refers to this CPS website.,(2/7/2012) LASKO PRODUCTS INC.: Customer contacted and sent prepeid return shipping label.  Unit not returned by customer for evaluation.,,"['LASKO PRODUCTS INC.', 'Lasko']",['6350'],8672
36814,20111108-51EEC-2147473531,11/8/2011,11/17/2011,12/2/2011,Consumer,Lasko Model 5622 baseboard space heater.,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Electric Baseboard Heaters (312),312,LASKO PRODUCTS INC.,Lasko,Lasko 5622,H1609067606,,,,Lowes,,11/1/2010,Yes,"I plugged this space heater into the outlet and set the temp to 72.  In a minute or two, after heating up, it began sparking and blew the fuse.  It first made a small spark, then a really big one before tripping the breaker.  Looking inside the grate you can see several of the wires and connections are scorched black.

I still have the heater and have not, and will not, try plugging it in again.",Minneapolis,Minnesota,55422,Home/Apartment/Condominium,"Incident, No Injury",Unspecified,Unspecified,,Yes,No,,,No,No,Yes,"I still have the product, but do not use it.  I will contact the manufacturer about it.",(12/1/2011) LASKO PRODUCTS INC.: Internal element connection on non-flamable micah board failed safely within metal enclosure.,,"['LASKO PRODUCTS INC.', 'Lasko']","['5622', '72.']",0
36999,20111030-54CF1-2147473793,10/30/2011,11/4/2011,11/21/2011,Consumer,Lasko movable air heater Model # 5397. Tower unit,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning","Electric Heaters, Not Elsewhere Classified (388)",388,LASKO PRODUCTS INC.,Lasko,movable air heater 5397,JW0910070241,,,,Wal-Mart,North Carolina,9/16/2011,Yes,We recently purchased two of your tower heating units and have received great service until last week when one of the units began sparking fire at the outlet.  We took the unit out of service thinking it may have been an issue with this particular one until last night when the second unit MELTED the wall outlet and grounded out the entire room.  Thank God the damage was contained to just the outlet because we were awake and were able to see the incident as it was occurring.  ,Warsaw,North Carolina,28398,Home/Apartment/Condominium,"Incident, No Injury",Male,My Spouse,43,Yes,,,,,Yes,,E-mail sent to company regarding the incident on today 10/30/11.  Still have both units.,(11/16/2011) LASKO PRODUCTS INC.: Customer reports problem with overheated outlet due resistance heating within the outlet due to poor internal connectivity. Problem unrelated to heater or plug design.  See CPSC Guide to Home Wiring Hazards for further explanation.,,"['LASKO PRODUCTS INC.', 'Lasko']","['5397.', 'MELTED']",0
37554,20111002-5E445-2147474759,10/2/2011,10/11/2011,10/25/2011,Consumer,Lasko Ceramic Air Heater Model 5536,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,LASKO PRODUCTS INC.,Lasko Ceramic Air Heater Model 5536,Lasko Ceramic Air Heater Model 5536,GV0709003128,,,9212,Target,,10/12/2009,,"I have a Lasko Ceramic Air Heat Model 5536 (9212) and the cord heats up when it is plugged in and running.  

I used it for a while lthe winter of 2009-2010 without incident.  

However, last winter 2010it blew a circuit; so I unplugged it and didn't use it again.  I attributed that to too many things on same circuit.  

Today, I plugged in and the cord heated up at the outlet and and up to the appliance itself.  I didn't want to start a fire, so I unplugged it and don't plan to use it again.  

I checked recalls for this model but there wasn't one on your website.  I'll do more internet investigation but I thought I should alert CPSC about the possibility of this model starting a fire.",Arlington,Virginia,22204,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,66,Yes,No,,,No,No,No,,(2/7/2012) LASKO PRODUCTS INC.: Customer sent prepaid retirn shipping label.  Unit was not returned by customer.  Customer reports likely resistance heating within outlet.,,"['LASKO PRODUCTS INC.', 'Lasko Ceramic Air Heater Model 5536']","['5536', 'CPSC', '9212', '2009-2010', '2010it']",0
37788,20110920-77991-2147475164,9/20/2011,9/28/2011,10/13/2011,Public Safety Entity,ASKO DISHWASHER. MODEL 1595,Kitchen,Appliances,Dishwashers (214),214,ASKO Appliances Inc,ASKO,1595,991400441496,,,,,,,,"HOMEOWNER STARTED HER ASKO DISHWASHER, MODEL 1595, HEARD POPPING NOISES FROM KITCHEN, FIRE ALARM ACTIVATED IN THE HOUSE. HOMEOWNER WENT TO THE KITCHEN AND SAW SMOKE BILLOWING FROM THE TOP OF THE DISHWASHER THEN FLAMES BEGAN. HOMEOWNER USED A DRY CHEMICAL EXTINGUISHER TO EXTINGUISH THE FIRE.",WESTPORT,Connecticut,6880,Home/Apartment/Condominium,"Incident, No Injury",Female,Unspecified,,,,,,,,,,(10/3/2011) ASKO Appliances Inc: This model was listed in a Safety Recall released in June 2007. Consumers should contact ASKO Customer Service with and questions.,,"['ASKO Appliances Inc', 'ASKO']","['KITCHEN', 'EXTINGUISH', 'THEN', 'POPPING', 'NOISES', 'OF', 'USED', 'FLAMES', 'AND', 'SMOKE', 'DISHWASHER.', 'CHEMICAL', 'IN', 'EXTINGUISHER', 'ACTIVATED', 'ASKO', 'DISHWASHER', 'ALARM', 'HER', 'TOP', '1595', 'HOUSE.', 'HOMEOWNER', 'FROM', 'FIRE', 'DRY', 'HEARD', 'STARTED', 'BILLOWING', 'BEGAN.', 'TO', 'MODEL', 'WENT', 'THE', 'SAW', 'FIRE.']",0
38430,20110817-6618B-2147476154,8/17/2011,,9/9/2011,Consumer,lasko box fan ,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Fans (380),380,LASKO PRODUCTS INC.,Lasko,3733,i don't know,'i don't know,,21:12 2,"Lowes, Omaha NE",,7/29/2011,,"We bought a Lasko box fax the last week in July 2011. we had been using it on low at night. Last night we smelled something burning and it was coming from the fan, the back of fan by motor was HOT. We unplugged it and haven't not used it since. It was only in use for aproximately 2 weeks. Today August 17,2011 I was at The Home Depot store in Ralston NE and saw a flyer for its RECALL. When I got home I checked the Lasko website and sure enough it is a model that was included in the RECALL. The fan was bought at LOWES. I don't know how they can still sell them if they have had this RECALL since March of 2011. The Lasko RECALL says they were sold from 2002 -2005.I will be calling the company after completing this form they are offering a free fused plug safety adapter.Thank you",Harlan,Iowa,51537,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,35,Yes,No,,,No,No,Yes,I will call company after completing this form.,"(10/2/2012) LASKO PRODUCTS INC.: Customer did not release contact information to Lasko.  Customer did not contact Lasko or return fan for evaluation.  Fan is not part of recall if purchased recently, as reported by consumer.",,"['LASKO PRODUCTS INC.', 'Lasko']","['LOWES.', 'NE', 'RECALL.', '2011.', '2005.I', '17', '2002', 'HOT.', 'RECALL', '2011']",0
38448,20110802-DB9EA-1194945,8/2/2011,,9/8/2011,Consumer,Floor Stand Fan,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Fans (380),380,LASKO PRODUCTS INC.,Lasko,"Galaxy Floor Stand Fan Type 16-1P, Style PCO 2586",,,,,,,,,"Subject: serious design problem

I am a mechanical design engineer and want to make you aware of a serious problem with the design of your Galaxy Floor Stand Fan Type 16-1P, Style PCO 2586.
My wife was lowering the motor fan head and lost her grip on the upper metal post which resulted in the top section slamming down on her hand pinching it severely. There was much bleeding and pain and she had to go to the emergency room at her doctors advice to check to see if she needed stitches and to ascertain if there was any other damage to her hand. They treated her and advised her that her hand was blistered and cut but no other damage was indicated. She also required a Tetanus shot. She now has it bandaged. The charge to us was her $75 deductible Emergency Room co-pay which was more than double the price we paid for your fan.
As a side note, I have also been pinched by this fan in the past as I lowered it gently but did not sustain any injury.
This design flaw could be easily corrected if the tapered releasing collar had a flared collar to protect ones hand. Many other pole mounted products have this safety feature such as Beach Umbrellas.
I have attached a photo of the damage to her hand and a photo showing your fan pinch point problem along with a photo of a typical beach umbrella flared collar.
We now worry that a small child could reach up and twist the release handle. Since their hand is much smaller it potentially could slam down, smash and/or break their fingers and not just damage the soft tissue of their hand.
Please consider recalling this product and reimburse anyone that was injured by it.
I am copying this e-mail to the Consumer Product Safety Commission so they have a record of it.

Thank You",,Unspecified,,Unspecified,"Injury, Emergency Department Treatment Received",Female,My Spouse,,,,,,,,,,,,"['LASKO PRODUCTS INC.', '', 'Lasko']","['75', '16-1P', '2586.', 'PCO']",0
38499,20110815-ACD38-2147476264,8/15/2011,,9/6/2011,Consumer,Lasko Tower Oscillating Ceramic Heater Model 5572,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,LASKO PRODUCTS INC.,Lasko,5572,,,,,,,,,Caused two separate outlets to burn out. Plug turned black but still works.,San Bernardino,Unspecified,92410,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,37,Yes,No,,,No,No,No,,(8/29/2011) LASKO PRODUCTS INC.: Customer contacted and return authorization sent.  Product not yet returned for evaluation.,,"['LASKO PRODUCTS INC.', 'Lasko']",['5572'],0
38754,20110731-7415C-2147476693,7/31/2011,,8/23/2011,Consumer,Box fan,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Fans (380),380,LASKO PRODUCTS INC.,Galaxy,Galaxy,E20739,,7/31/2003,2003-07,walmart,Arkansas,3/16/2011,Yes,"We had the fan running and was asleep.The smoke and the smell coming from the fan 
woke me up. I unpluged the fan and set the fan out side.If i did not wake up it would of set our houes on fire and killed my faimley.",dover,Arkansas,72837,Mobile/Manufactured Home,"Incident, No Injury",Female,Unspecified,40,Yes,No,,,No,No,Yes,I am going to try they need to know this fan is very dangerus.,"(8/8/2011) Sears Holdings Management Corporation: Sears Holdings takes product safety issues very seriously.  We investigate each CPSC database incident report.  We encourage our customers to provide additional information about incidents to our Customer Care Network, by calling 800-549-4505.
(8/29/2011) LASKO PRODUCTS INC.: Return label sent to customer.  Product not yet returned for evaluation.  Product reportedly failed safely.  Product is possibly part of recall.",,"['Galaxy', 'Sears Holdings Management Corporation', 'LASKO PRODUCTS INC.']",[],0
38908,20110614-60D83-1187195,6/14/2011,,8/15/2011,Consumer,A box fan ,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Fans (380),380,LASKO PRODUCTS INC.,,,,,,2002-03,,,1/15/2003,,"The fan was placed in the master bedroom window seal powered in the on position estimating about 4-5 hours. After arriving home they noticed that the fan had fell out of the window on to the floor and had burned itself up and melted the carpet. The bedroom is full of soot.

The Fire Department was contacted and they stated that they believed that the fan fell out of the window and fell onto the carpet and overheated and burned up. The day of the incident the weather was very windy which is believed to have caused the fan to fall out of the window. The master bedroom also experienced heavy smoke damage. 

A thermal imaging camera was used to determine if there was any fire/smoke in the home He contacted the insurance company, AAA Insurance, on 6/5/2011 took a report, pictures and also took the fan. The name of the representative was [REDACTED] and she indicated that the bedroom was considered to be a total loss. 

The only parts of the fan that remain are a chunk of motor cord and box portion of the fan is left.  While speaking with a next door neighbor he learned of the recent recall (see Release 11-183) but due to the fire he is unable to locate any model number that was located on the unit.He stated that he does not think he will contact the firm.",Rochester Hills ,Michigan,48306,Home/Apartment/Condominium,"Incident, No Injury",Unspecified,Unspecified,,Yes,No,,,No,No,Yes,,"(8/29/2011) LASKO PRODUCTS INC.: Product is subject to recall dated March 24, 2011.",,"[nan, 'LASKO PRODUCTS INC.']","['REDACTED', '4-5', 'AAA', '11-183', '2011']",0
38964,20110620-A12DF-1188025,6/20/2011,,8/12/2011,Consumer,Washer Dryer Combo,Home Maintenance and Structures,"Laundry, Fabric Care & Sewing","Washing Machines, Other or Not Specified (140)",140,ASKO Appliances Inc,ASKO,WCAM1812,200513055371,,,,Albert Lee,Washington,3/31/2006,,"INCIDENT DETAILS
I purchased an Asko WasherlDryer Combo -model WCAM1812 on March 31,2006 from Albert
Lee Appliances in Seattle, Washington for $1,169.00

After about a year, I noticed that whenever I tried to dry the clothes, after one hour they were
still damp or the other extreme was they were so hot that I had to let them cool down before
reaching in to take them out of the machine. The thing that was most puzzling about this was that
in spite of setting the drying time button to 20/40/0r 60 minutes that it was unpredictable how
dry the clothes were. Often the machine on dry would continue going even after I set it for only
20 minutes drying time.

I called the Asko on 10/27/08 and spoke with a woman name [REDACTED]. She had no record of
proof of purchase, so I gladly faxed a copy of my sales receipt. A month later, on 11/28/08 I
received a call from a woman name [REDACTED]. Her repeated questions to me were how much laundry
was I trying to dry at a time and perhaps I was ""filling the machine to the top"" which was not the
correct way to use the dryer. I explained to her that I was only using the dryer for sheet and
towels and never had a full load. Also, explained to her that because the sheets were queen size, I
would dry one sheet at a time. Towels were never more that 3-4 and were the regular size bath
towels. After much banter back and forth and her rude, demeaning manner, she agreed to make
arrangements to have a service person come out and take a look at the problem.

A male serviceman did come out shortly thereafter, opened the machine and his comment to me
was that I had a ""burned out heat pack"". He was even kind enough to show me the pack. I took a
picture of it while he had the top off the machine. He replaced the pack.

Problems continued with no control over the drying time regardless of what time setting I set the
dry knob on, and the clothes continued to come out not dried or the reverse of being so hot that I
could not touch them and sometimes I would pun them out of the machine, in spite of how hot
they were, for fear of a fire.

On June 19,2011, I put a load of clothing in the washing machine and noticed after one hour the
clothes were still on the wash cycle. I immediately called the Asko in a panic because I did not
know what to do since this had never happened before. I spoke with a very kind woman name
[REDACTED]. I explained to her what was going on. She talked me through a procedure that she said
would alleviate the problem, get the machine to go into spin and drain the water from the
machine. I tried 3 times with her on the phone but no results. The machine just kept washing in
the wash cycle. She was at a loss as to why the technique she was walking me through was not
working. She then suggested I pull the drain plug at the bottom ofthe machine and allow the
approx.5 gallons of water to drain. I told her I could not do that because the machine was not on
a platfonn, in other words the drain plug was too low to even slip an adequate bucket for the 5
gallons of water. I also explained to her that I was living in a condo with hardwood floors and
did not wish to damage my unit as well as my neighbors unit below me. She was very
sympathetic, apologized and gave me the number of a few repair companies in the area with the
understanding no one would be available to come out today. I thanked her for her time and we
hung up. The saving grace for me was that I kept repeating over and over the technique she tried
with me over the phone. It eventually worked.

I am very displeased with this product. There are definitely some safety issues and ooncerns as I
have documented. I would have to conclude that not only is Asko WasherlDryer Combo -Model
number WCAM 1812 - not a user friendly machine but that the drying component is a safety
hazard. We as consumers should not have to worry about using a product that is unreliable,
unsafe, or requires rebooting to operate.",,Unspecified,,Unspecified,"Incident, No Injury",Unspecified,Unspecified,,Yes,No,,,No,Yes,,,"(8/2/2011) ASKO Appliances Inc: We do not  find this to be an issue of safety but rather an issue of a consumer not happy with product performance. This product is designed as a problem solver for those situations when a convention washer and dryer set can not be installed. It is a convenience piece so that consumers do not have to send out all of their laundry out or have to use a common laundry room all the time The product is an all in one washer/dryer meaning that clothes are washed and dried in the same drum. In order to get the best drying results in this product the loads are to be 1/2 size. Too large of loads will not dry completely and too small of a load could over dry. The drying system is an internal condensing system. As the garments dry the moisture in the air is condensed back into water, trapped and pump out through the drain system. This drying system requires no outside venting and allows this product to be placed anywhere there is power and water. When used properly this product preforms as designed.",,"['ASKO Appliances Inc', 'ASKO']","['REDACTED', '28', '31', '10', '20', '2006', 'INCIDENT', 'WCAM', '08', 'WasherlDryer', '2011', '19', 'WCAM1812', '3-4', '27', '11', '60', '40', '169.00', '1812', 'DETAILS']",0
39216,20110617-7E947-1187779,6/17/2011,,8/1/2011,Consumer,Lasko Heater,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Portable Electric Heaters (348),348,LASKO PRODUCTS INC.,Lasko,5620,E217303,,,,Lowes,Ohio,1/15/2010,Yes,"Consumer stated a fire was started by her electric portable heater. The stated that the product was off at the time of the incident and plugged into a wall socket. The wall socket had flames shoot from the outlet. The consumer's husband unplugged the heater from the outlet and the flames stopped. The product does not appear to be damaged in any way. However, the wall socket does have charring and discoloration, and was replaced.

The consumer was not harmed by the product but feels she might have been if her husband was not home with her, as she is disabled and cannot walk. The consumer's son tested the plug and discovered it had wires in the plug that were crossed, creating a short.  The consumer has noticed similar products recalled in release 11-121. The consumer chose not to call the fire department at the time of the incident.",Beavercreek,Ohio,45434,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,74,Yes,No,,,No,No,No,,"(7/22/2011) LASKO PRODUCTS INC.: Customer contacted and unit will be returned for evaluation.
(9/27/2012) LASKO PRODUCTS INC.: Customer had replaced original plug with improper replacement plug which also evidenced resistance heating due to bad outlet.",,"['LASKO PRODUCTS INC.', 'Lasko']",['11-121.'],0
39722,20110614-6C75C-2147478245,6/14/2011,,7/6/2011,Consumer,Lasko Box Fan Model number 3733,Home Maintenance and Structures,"Heating, Ventilation & Air Conditioning",Fans (380),380,LASKO PRODUCTS INC.,Lasko,3733,833931,,1/1/2008,,Walmart,,6/26/2009,Yes,"Three seperate Lasko Fans, two of the three started sparking and sizzling in the center where the back of the motor is.  They were both free of dust and debrie. The noise was loud enough to wake our children.  Since incident, we have discarded both fans and wanted to make the company aware of our problems with the fans.  The last fan we still have but are reluctant to use!! ",JBLM,Washington,98439,Home/Apartment/Condominium,"Incident, No Injury",Male,My Child,1,No,No,,,No,No,No,,(6/28/2011) LASKO PRODUCTS INC.: Consumer was contacted and provided prepaid shipping to return product for inspection and evaluation.  Product has not yet been received. Product reported to have failed safely.,,"['LASKO PRODUCTS INC.', 'Lasko']",['3733'],0
